id,key_path,index_type,key size,value size,num of keys,size limit (MB),P0 (load) num,P0 throughput,P1 (write) num,P1 (read) num,P1 (read through LI) num,P1 write throughput,P1 read throughput,P2 (write) num,P2 (read) num,P2 (read through LI) num,P2 write throughput,P2 read throughput,P3 (write) num,P3 (read) num,P3 (read through LI) num,P3 write throughput,P3 read throughput,
20230810213436,output_1M_RW.txt,LearnedKV,8,1016,1000000,1269.53,1000000,8.86321,501072,498928,63150,7.35796,12.4301,499785,500215,142496,6.26123,15.9553,500377,499623,131508,6.33099,15.5195,
20230810214211,output_1M_RW.txt,RocksDB,8,1016,1000000,1269.53,1000000,8.89603,501072,498928,0,6.11867,11.0401,499785,500215,0,4.31572,11.9343,500377,499623,0,4.41871,11.8593,
20230810225148,output_1M_RW_uniform.txt,LearnedKV,8,1016,1000000,1269.53,1000000,9.57946,500631,499369,180411,7.44983,7.87025,499792,500208,431481,6.14347,11.1688,499369,500631,421761,7.5378,10.4203,
20230810225955,output_1M_RW_uniform.txt,RocksDB,8,1016,1000000,1269.53,1000000,8.39656,500631,499369,0,5.69191,6.59612,499792,500208,0,4.36092,7.05441,499369,500631,0,5.99324,6.85883,
